state,year,total_crimes,population,crime_rate
A&N Islands,2013,612.0,,
Andhra Pradesh,2013,216092.0,84580777.0,255.48594806595355
Arunachal Pradesh,2013,2776.0,1383727.0,200.61760737486514
Assam,2013,86764.0,31205576.0,278.04005284183825
Bihar,2013,165172.0,104099452.0,158.66750191922242
Chandigarh,2013,4077.0,1055450.0,386.28073333649155
Chhattisgarh,2013,56870.0,25545198.0,222.62501155794527
D&N Haveli,2013,314.0,343709.0,91.35635086657608
Daman & Diu,2013,246.0,,
Delhi UT,2013,79409.0,16787941.0,473.01214603982703
Goa,2013,4312.0,1458545.0,295.6370903880237
Gujarat,2013,156524.0,60439692.0,258.9755090082193
Haryana,2013,72098.0,25351462.0,284.3938546818326
Himachal Pradesh,2013,13720.0,6864602.0,199.86592085018185
Jammu & Kashmir,2013,25390.0,12267032.0,206.9775313213498
Jharkhand,2013,47580.0,32988134.0,144.23368111697374
Karnataka,2013,136689.0,61095297.0,223.73080533514715
Kerala,2013,176334.0,33406061.0,527.8503203355822
Lakshadweep,2013,40.0,64473.0,62.041474725854236
Madhya Pradesh,2013,224024.0,72626809.0,308.45909807217333
Maharashtra,2013,229626.0,112374333.0,204.34025623983013
Manipur,2013,3178.0,2855794.0,111.2825364854748
Meghalaya,2013,3259.0,2966889.0,109.84570032785183
Mizoram,2013,1709.0,1097206.0,155.7592648964734
Nagaland,2013,1216.0,1978502.0,61.460640423916686
Odisha,2013,71718.0,41974218.0,170.86202773331
Puducherry,2013,3756.0,1247953.0,300.9728731771149
Punjab,2013,36248.0,27743338.0,130.65478998958235
Rajasthan,2013,195205.0,68548437.0,284.7694397466714
Sikkim,2013,851.0,610577.0,139.3763603935294
Tamil Nadu,2013,202758.0,72147030.0,281.03443759223353
Tripura,2013,6210.0,3673917.0,169.02940376715097
Uttar Pradesh,2013,222276.0,199812341.0,111.24237816722241
Uttarakhand,2013,9546.0,10086292.0,94.64330400111359
West Bengal,2013,168041.0,91276115.0,184.1018321167591
